medicamento,substancia
Heparina 5000 unidades/mL frasco-ampola 5 mL ,Heparina
HIPO - TRAMADOL 50MG/ML SOL. INJ AMPOLA 2ML (100MG/2ML),TRAMADOL CLORIDRATO
Sulfametoxazol Trimetoprima F (800+160mg) Cp. (A),SULFAMETOXAZOL+TRIMETOPRIMA
AC ACETILSALIC 100MG 30 CP EMS GEN,ACIDO ACETILSALICILICO <200MG
Remeron Soltab 15 Mg Cp.,MIRTAZAPINA
BAMIFILINA 600MG - COMPRIMIDO,BAMIFILINA
Hidrocortisona 100mg fr/amp,HIDROCORTISONA SUCCINATO SODICO
PANTOPRAZOL SODICO COMPRIMIDO REVESTIDO 20MG,PANTOPRAZOL
CILOSTAZOL 50 mg,Cilostazol
AMILorida 5mg Cap (Não Padrão),Amilorida
CLORAMBUCILA 2MG COMP,CLORAMBUCILA
HIPODERMOCLISE - ONDANSETRONA 8MG/4ML AMP,ONDANSETRONA
QUEtiapina Fumarato 200 mg Comprimido,QUEtiapina
(NAO PADRAO) DULoxetina 30MG CAPSULA,Duloxetina
Sertralina 50mg,SERTRALINA CLORIDRATO
METRONIDazol 500MG SOL INJET 5MG/ML - BOLSA/FRASCO 100ML,metronidazol
AloPURinol 300mg Cp,AloPURinol
Pepsamar 230 mg Comprimido Mastigável,HIDROXIDO DE ALUMINIO
SULFATO DE ZINCO (SOLUÇÃO ORAL) 2.5 mg/mL,SULFATO DE ZINCO 
DIFOSFATO DE CLOROQUINA 150 MG,CLOROQUINA
Proctyl Supositório,POLICRESULENO+CINCHOCAINA (TOPICO)
LevoTIROXina 100 mcg,LevoTIROXina
TIAMINA CLORIDRATO COMPRIMIDO 300MG,TIAMINA (VITAMINA B1)
CEFTRIAXONA  1G  FR- AMPOLA  ENDOVENOSO,CefTRIAXona
Sandoglobulina 6gr Fra,IMUNOGLOBULINA HUMANA
"Soro  Antielapídico 1,5mg/ml Ampola 10ml  (corais)",SORO ANTIELAPIDICO
Isoniazida 100mg,ISONIAZIDA
Bactroban Pomada 10gr,MUPIROCINA (TOPICO)
FOSFOMICINA TROMETAMOL 3G ENVELOPE,FOSFOMICINA
GENUXAL (CICLOFOSFAMIDA) 1G,ciclofosfamida
"CARVEDIlol 0,5MG/ML SOL ORAL FR 50ML",CarVEDilol
Biperideno 5mg/mL amp,BIPERIDENO
DIAZEPAN COMPRIMIDO C/ 5MG,DIAZEPAM
URSACOL 150MG CPR,acido ursodesoxicolico
ACICLOVIR COMP 200 MG,ACICLOVIR
AZITROMICINA 500MG - FRASCO AMPOLA,AZITROMICINA
Amoxicilina/Clavulanato de potássio 1000/200mg FA ,AMOXICILINA + CLAVULANATO POTASSIO
BACILLUS CLAUSII 2 bcfu/5ml,BACILLUS CLAUSII
LOSARTANA 50MG CPR,LOSARTANA
AzaTIOprina 50mg Comprimido,AZATIOPRINA
INDOMETACINA 25MG - CP,INDOMETACINA
QUETIAPINA FUMARATO 25MG COMP - (CONTROLADO),QUEtiapina
Solução Ringer c/ Lactato 1000ml - FRASCO/BOLSA,(RINGER LACTATO) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO+LACTATO DE SODIO
MEGESTROL 160 MG,MEGESTROL ACETATO
Enalapril 20mg Cp,ENALAPRIL MALEATO
"Fentanest 500mcg (0,05mg/ml) Ampola 10ml",FENTANILA
METRONIFLEX (METRONIDAZOL) 5MG/ML BOLSA 100ML,metronidazol
"Vacina Pneumocócica 13 Frasco 0,5ml - 1 Dose",VACINA PNEUMOCOCICA 13-VALENTE (CONJUGADA)
Tiamazol 10mg Cp,METIMAZOL (tiamazol)
Oxacilina 500mg FA,OXACILINA SODICA
FASTFEN 50 Mcg/ml  amp 1 ml,SUFENTANILA
HALOPERIDOL 5MG/ML (HALDOL),HaloPERidol
Cloridrato de Dexmedetomidina 100mcg/ml - 2ml (Precedex),DEXMEDETOMIDINA
fluoruracila 50 mg/g creme dermatologico bisnaga 15g,FLUOROURACILA
PRAMIPEXOL 1MG CPR,PRAMIPEXOL
Octaplex Frasco-ampola 500ui + Diluente 20ml,FATOR II DE COAGULAÇÃO + FATOR VII DE COAGULAÇÃO + FATOR IX DE COAGULAÇÃO + FATOR X
Levotiroxina - comprimido 25 mcg,LevoTIROXina
"ACETATO DE NORETISTERONA 11,19 mg + ESTRADIOL HEMI-HIDRATADO 3,2 mg",ESTRADIOL + NORETISTERONA
AMICACINA 500MG/2ML AMP 2ML INTRAMUSCULAR,AMICACINA 
Omeprazol 40mg Pó Para Solução Injetável + Diluente Próprio 10ml | Solução Injetável,OMEPRAZOL
AloPURinol 20mg/ml - fr 50ml,AloPURinol
SULFADIAZINA DE PRATA 1% POMADA,SULFADIAZINA DE PRATA (TÓPICO)
CicloFOSFAMida 50mg Cp - Genuxal,ciclofosfamida
OMEPRAZOL 20MG CAPSULA,OMEPRAZOL
Besponsa 1mg Pó Liofilizado Frasco-ampola,INOTUZUMABE
AZATIOPRINA 50 mg,AZATIOPRINA
CETOCONAZOL 2% CREME,CETOCONAZOL (TÓPICO)
LOSARTANA 50MG COMP,LOSARTANA
ALPROSTADIL 20MCG - PÓ LIOFILIZADO - FRASCO-AMPOLA,ALPROSTADIL (PROSTAGLANDINA E1)
"HIDROCLOROTIAZIDA 12,5 mg + LOSARTANA 50 mg",LOSARTANA + HIDROCLOROTIAZIDA 
"Furosemida 40mg, comprimido (ORAL)",FUROSEMIDA
METIMAZOL 5 mg,METIMAZOL (tiamazol)
Uso Dom.: ROSUVASTATINA,ROSUVASTATINA CALCICA
LEVETIRACETAM 250MG COMP (MESTRE),LEVETIRACETAM
Nimodipino 30mg Cap,NiMODipino
NP Bisacodil 5mg drg,BISACODIL
"BICARBONATO DE SODIO 8,4% 250 ML",BICARBONATO DE SODIO
DARATUMUMABE SOLUCAO INJETAVEL SUBCUTANEA 120MG/ML 15ML## ®,DARATUMUMABE
AMOXACILINA+AC.CLAVULANICO 500MG+100MG AMPOLA,AMOXICILINA + CLAVULANATO POTASSIO
Fisiogel Serum facial 30mL (Não Padrão),CREME HIDRATANTE
SULFAMETOXAZOL+TRIMETOPIMA 200+40 MG/5ML FR SUSP 100ML,SULFAMETOXAZOL+TRIMETOPRIMA
Irinotecano ,IRINOTECANO
"OCTREOTIDA 0,5mg INJ (0,5mg/mL) 1mL",OCTREOTIDA
CLORIDRATO DE FEXOFENADINA 120 MG COMP REV,FEXOFENADINA
Fluoxetina 20mg Cp,FLUOXETINA
Nistatina 100.000 UI/mL Fr 50 mL,NISTATINA
Galvus Met 50/500mg Cp rev (Não Padrão),METFORMINA + VILDAGLIPTINA
GLICOSE ISOTONICA 5% 500ML SISTEMA FECHADO,SOLUCAO DE GLICOSE (SORO GLICOSADO)
Amoxil 500mg Cap,AMOXICILINA
"SALBUTAMOL 0,5MG/ML - INFUSÃO CONTÍNUA SG",SALBUTAMOL (ALBUTEROL)
Acido FoliNIco 15mg cp,FOLINATO DE CALCIO (ACIDO FOLINICO)
CIPROFLOXACINO 500 MG CMP,CIPROFLOXACINO  
"GENTAmicina SULFATO SOLUCAO OFTALMICA 5MG/ML (0,5%) 5ML",GENTAMICINA
AmioDARONA 200mg Comprimido,AMIODARONA
"Ergometrin 0,2mg/ml  amp 1 ml (Maleato de metilergometrina)",METILERGOMETRINA
"Clob-X 0,5mg/g Gel Bisnaga 30g",CLOBETASOL (TOPICO)
amOXIcilina+CLAVULANATO 500MG+125MG- COMPRIMIDO REV,AMOXICILINA + CLAVULANATO POTASSIO
"MPP:  COR SELECT 2,5 MG",LEVANLODIPINO
PIRIMETAMINA SUSPENSAO ORAL 2MG/ML 25ML,PIRIMETAMINA
Corega Ultra Creme Fixador de Dentadura Bisnaga 40g,CREME FIXADOR DE DENTADURA
PROLOPA 100/25MG DISP CP,LEVODOPA + BENSERAZIDA
ACIDO VALPROICO 250MG/5ML XAROPE FRASCO 100ML,ACIDO VALPROICO (VALPROATO DE SODIO)
Probiatop 1g Sachê,LACTOBACILLUS
LASIX 40MG CPR,FUROSEMIDA
"ENOXAPARINA  20MG / 0,2ML (MED.ALTO RISCO)",ENOXAPARINA SODICA
PRECIPITADO DE ENXOFRE 6% CREME 30G ,ENXOFRE
ACETILCISTEINA 200MG ENV GRANULADO SOL ORAL,ACETILCISTEINA
TALIDOMIDA 100MG CPR,TALIDOMIDA
Diazepam 10mg cp,DIAZEPAM
"METILPREDNISOLONA, ACET 40MG/ML FR.AMP INTRAMUSCUL",METILPREDNISOLONA
"PIPERACILINA 2g + TAZOBACTAM 0,25g INJ",PIPERACILINA + TAZOBACTAM
"BICARBONATO de SÓDIO 8,4%  (amp c/ 10 ml)",BICARBONATO DE SODIO
Levaflox 750 mg EV,LEVOFLOXACINO
IBUPROFENO 100MG/ML C/ 20ML - Infantil,IBUPROFENO
CLORIDRATO DE NALBUFINA 10MG/ML SOL INJ AMP C/10MG,Nalbufina
SACCHAROMYCES BOULARDII CAPSULA GELATINOSA DURA 100MG,SACCHAROMYCES BOULARDII
Diupress 25/5mg Cp (Não Padrão),CLORTALIDONA + AMILORIDA
Levetiracetam 250 mg comp (C1),LEVETIRACETAM
Morfina 10 mg cp,SULFATO DE MORFINA
Espironolactona 50 mg comp,ESPIRONOLACTONA
ACETAZOLAMIDA 250MG COMP,ACETAZOLAMIDA
FENITOINA 250MG/5ML AMP,FENITOINA
OMEPRAZOL 20 MG CAPSULA,OMEPRAZOL
Clavulin Bd 875mg/125mg Comprimido Revestido,AMOXICILINA + CLAVULANATO POTASSIO
CLORETO DE SODIO 9 mg,CLORETO DE SODIO
"SORO FISIOLOGICO 0,9% (BOLSA 500 mL)  ","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
TRAMADOL 100MG/1ML GOTAS,TRAMADOL CLORIDRATO
CLOBAZAM 10MG COMP,CLOBAZAM
HidroCLOROTiazida 2 mg/ml Fr 100mL,HIDROCLOROTIAZIDA
Budecort Aqua 32mcg/dose (120 doses) Susp spray (Não Padrão),BUDESONIDA
METILERGOMETRINA EV/IM/SC AMP 1 ML 0.200000000000000011 mg/mL,Heparina
CLORETO DE SODIO 20% - AMP 10ML,"CLORETO DE SODIO >=1,5% (HIPERTONICA)"
BUDESONIDA 400MCG + FORMOTEROL 12MCG - CAPS,FORMOTEROL + BUDESONIDA
Targocid 200mg Inj,TEICOPLANINA
METOTREXATO 500MG,METOTREXATO
ACETILCISTEINA 600MG,ACETILCISTEINA
DIPROPIONATO DE BECLOMETASONA 250MCG SPRAY 200 DOSES,beclometasona
Solução Ringer C/ Lactato - Bolsa 500ml,(RINGER LACTATO) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO+LACTATO DE SODIO
CETILPIRIDIO CLORETO (ANTISEPTICO BUCAL) 250ML FRS,CLORETO DE CETILPIRIDINIO
Dacarbazina 200 mg fr/amp,DACARBAZINA
ROpivacaína 10MG/ML- 20ML,ROpivacaina
Dimenidrinato/piridoxina 50+10mg cp,DIMENIDRINATO + PIRIDOXINA(B6)
Lidocaina geleia 2% 20 mg/g 10 g seringa esteril,LIDOCAINA (TOPICO)
ACIDO FOLINICO 5 MG/ML 50 ML XAROPE FRASCO,FOLINATO DE CALCIO (ACIDO FOLINICO)
ALKeran 50mg Inj (Importado),MELFALANA
Codeína 30mg cpr,CODEINA
RIVOTRIL 2 MG - CP,CLONAZEPAM
MIDAZOLAM SOLUCAO 1 MG/ML 124 ML UTIA,MIDAZOLAM
Cloreto de Sódio 20% Amp. 10mL,"CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
FENOFIBRATO CAPSULA GELATINOSA DURA 200MG,FENOFIBRATO
FLUCONAZOL 150MG VO,FLUCONAZOL
ALBUMINA HUMANA 20% MANIPULADA (CENTRAL),ALBUMINA HUMANA
ERITROMICINA 50MG/ML SUSP ORAL,ERITROMICINA
Xylestesin 2% S/ Vasoconstritor Ampola 20ml,LIDOCAINA CLORIDRATO
RIFAMPICINA 150MG+ISONIAZIDA 75MG+PIRAZINAMIDA 400MG+ETAMBUTOL 275MG (RHZE) COMPRIMIDO MS,ETAMBUTOL + ISONIAZIDA + PIRAZINAMIDA + RIFAMPICINA
BUDESONIDA SUSPENSAO AQUOSA NASAL 32MCG/DOSE 120 DOSES,BUDESONIDA
MORFINA 10MG -(SULFATO) - COMPRIMIDO,SULFATO DE MORFINA
Colistimetato Sódico 150 mg FA ,COLISTIMETATO (POLIMIXINA E) (COLISTINA)
CALCIO CITRATO MALATO 60 cp + MAGNESIO 60 cp + VITAMINA D3 60 cp + VITAMINA K2 60 cp,CALCIO CITRATO MALATO + COLECALCIFEROL (VITAMINA D) + VITAMINA K + MAGNESIO QUELATO
CLORPROMAZINA 5MG/ML ,ClorproMAZINA
Diluição ESMOLOL 10MG/10ML em CLORETO SODIO 100ML (CONTINUO),ESMOLOL
Anforicin B 50mg Fr/ Amp ( Anfotericina B Convencional ),ANFOTERICINA B LIPOSSOMAL
DOBUTAMINA 250MG  SOL INJ,Dobutamina
COMPLEXO B COMPRIMIDO,VITAMINAS DO COMPLEXO B
MIRTAZAPINA 15MG COMP,MIRTAZAPINA
RUXOLItinibe 20MG COMP ,RUXOLITINIBE
RITUXIMABE 500MG FA,RiTUXimabe
METRONIDAZOL 5MG/ML- FR - 100ML,metronidazol
Transamin 250mg Cp,ACIDO TRANEXAMICO
NitroPRUSSIATO de Sódio 25mg/mL Amp. 2mL,NITROPRUSSIATO (NITROPRUSSETO)
"Terbutalina 0,5mg/mL amp",TERBUTALINA
PROFENID 100MG - EV - PED,CETOPROFENO
Tioguanina 40mg Cp,TIOGUANINA
FENOBARBITAL 40MG/ML SOL. ORAL FR 20ML,FENOBARBITAL
Predsim 20 Mg Cp.,PrednisoLONA
Atropina 1% Solução Oftálmica Frasco 5ml #,ATROPINA
Folinato de Cálcio 300mg/30ml  FA,FOLINATO DE CALCIO (ACIDO FOLINICO)
BUSCOPAN SIMPLES 10MG/ML (1ML=20GTS) SOL ORAL FR 20ML,ESCOPOLAMINA (HIOSCINA)
CLORIDRATO DE REMIFENTANIL 5MG- EV-BI(MEDICAMENTO DE RISCO),REMIFENTANILA
SOTALOL 160MG COMP,Sotalol
BRIDION 100MG/ML FA 2ML,SUGAMADEX
"PIRIDOSTIGMINA 60 MG ""NP""",PIRIDOSTIGMINA
Oxacilina 500mg inj.,OXACILINA SODICA
OXALATO DE ESCITALOPRAM 10 mg,ESCitalopram
HidrALAZINA CLORIDRATO SOLUCAO INJETAVEL 20MG/ML 1ML,HidrALAZINA
Elidel 10mg/g Creme 15g (Não Padrão),PIMECROLIMO
Sitagliptina 100mg (NÃO PADRONIZADO),SITAGLIPTINA
LEUkeran 2mg Comprimido,CLORAMBUCILA
Uso Dom.: ESCITALOPRAM 10MG COMP,ESCitalopram
SOLUÇÃO DE GLICOSE 50MG/ML - 5% - 500ML - SOLUÇÃO INJETÁVEL - FRASCO,SOLUCAO DE GLICOSE (SORO GLICOSADO)
"ENOXAPARINA 60MG / 0,6ML(MED.ALTO RISCO)",ENOXAPARINA SODICA
RINGER C/ LACTATO - FR 500ML,(RINGER LACTATO) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO+LACTATO DE SODIO
"CLOREXIDINA 0,12% SOLUCAO DEGERMANTE",CLOREXIDINA
RISPERIDONA 2MG COMP,RISPERIDONA
TOPOTECANO 4MG - FA (ONCOLOGIA) (MPP) - NP,TOPOTECANO
Glicose 5% Bolsa 100ml - Baxter #,SOLUCAO DE GLICOSE (SORO GLICOSADO)
Ferrocarbonila + Ácido fólico+ Assoc Drg.,FERROCARBONILA + ACIDO FOLICO + TIAMINA (VITAMINA B1) + RIBOFLAVINA (VITAMINA B2) + PIRIDOXINA (VITAMINA B6) + CIANOCOBALAMINA (VITAMINA B12) + NICOTINAMIDA (VITAMINA B3) + PANTOTENATO DE CALCIO (VITAMINA B5)
PROPOFOL 200 MG/20ML - EV- PED (MEDICAMENTO DE RISCO),PROPOFOL
METFORMINA 850MG - CP,METFORMINA
Bactroban Creme Tubo 10g,MUPIROCINA (TOPICO)
Clortalidona 25 Mg Cp ( Clortalidona ),CLORTALIDONA
SOTACOR 160MG COMP - SOTALOL (NP),Sotalol
Dramin B6 Gts (20 Gts/ml) Frasco C/ 20ml,DIMENIDRINATO + PIRIDOXINA(B6)
SULFATO DE MAGNESIO 50% - PUSH DE MAGNÉSIO - ACESSO CENTRAL,SULFATO DE MAGNESIO
"DOBUTAMINA 12,5MG/ML AMP 20ML PEDIATRIA HRLN",Dobutamina
VARFARINA 5 MG (MPP),VARFARINA SODICA
LIDOCAINA 2% SEM VASO 20ML,LIDOCAINA CLORIDRATO
"Cabergolina 0,5mg Cp",CABERGOLINA
Levodopa 200 + Benserazida 50mg Cp,LEVODOPA + BENSERAZIDA
BIPERIDENO 2MG - COMPRIMIDO,BIPERIDENO
Varfarina Sódica 5mg Cp.,VARFARINA SODICA
SYNTHROID 88MCG 30 CP C,LevoTIROXina
DAPAGLIFLOZINA 10MG COMP,DAPAGLIFLOZINA
DOCEtaxel 20 MG,DOCETAXEL
TOPIRAMATO 25 mg,TOPIRAMATO
TIMOMODULINA 80MG,TIMOMODULINA
"CLORTALIDONA COMPRIMIDO 12,5MG",CLORTALIDONA
Bepeben 1.200.000ui  (300.000ui/ml) Frasco-ampola 4ml,BENZILPENICILINA BENZATINA
LEVOTIROXINA 125 mcg,LevoTIROXina
"Oximetazolina pediátrico 0,25mg/ml sol. nasal - 20mL",OXIMETAZOLINA
"Picoprep Picossulfato de Sódio 10mg + Óxido de Magnésio 3,5g + Ácido Cítrico Anidro 12g",PICOSSULFATO DE SODIO + OXIDO DE MAGNESIO + ACIDO CITRICO ANIDRO 
MPP:  DONEPEZILA,DONEPEZILA
Meclizina 25 mg cpd,MECLOZINA
"MENTOL 3MG/G (0,3%) + CANFORA 6MG/G (0,6%) CREME 100G",MENTOL + CANFORA (TOPICO)
SulfADIAZINA DE PRATA 1% USO TOPICO,SULFADIAZINA DE PRATA (TÓPICO)
CELEBRA 200MG 15 CAP C1,Celecoxibe
BRIMONIDINA + TIMOLOL (BRITENS) (NP),BRIMONIDINA + TIMOLOL
Paroxetina 20mg cpr.,PAROXETINA
Vaselina Estéril Sol 50mL,VASELINA
Puran T4 50mcg Cp.,LevoTIROXina
"CLORETO DE SODIO 9MG/ML (0,9%) SOLUCAO INJETAVEL AMP 10ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
MESNA COMPRIMIDO REVESTIDO 600MG ,MESNA
REMIfentaNILA (CLORIDRATO) 2MG PO LIOFILIZADO P/SOL INJET-FA,REMIFENTANILA
Protamina 1.000 Ui/ml (10mg/ml) Amp/5ml,PROTAMINA
Acido Acetilsalicilico tamponado 100 mg  cp,ACIDO ACETILSALICILICO <200MG
Sulferrol 250 Mg Drageas ( Sulfato Ferroso),SULFATO FERROSO
CLORIDRATO DE PROPAFENONA 150 mg,PROPAFENONA
Clortalidona 25mg | Comprimido,CLORTALIDONA
SOLUCAO DE GLICOSE 5% (FRASCO 250 MILILITROS),SOLUCAO DE GLICOSE (SORO GLICOSADO)
PROPOXIFENO 77MG+AAS 325MG CPR,PROPOXIFENO + ACIDO ACETILSALICILICO >200 MG 
Complexo Protrombínico Humano 500 UI FA,COMPLEXO PROTROMBINICO
GLIMEPIRIDA 4MG 30 CP SAND GEN,GliMEPIRida
Sulfadiazina de Prata 10mg/g cr. 30gr,SulfADIAZINA
RifAMPICina 150 mg + Isoniazida 75 mg,ISONIAZIDA + RIFAMPICINA
AZITROMICINA 500MG - COMPRIMIDO,AZITROMICINA
CEFTRIAXONA 1G – PÓ LIOFILZADO PARA SOLUÇÃO INJETÁVEL - VIA ENDOVENOSA - FRASCO-AMPOLA,CefTRIAXona
Metformina 850mg cp,METFORMINA
Haemocomplettan P 1.000mg Inj ,FIBRINOGENIO
"ACET. DE FLUDROCORTIZONA 0,1MG COMP",FLUDROCORTISONA
MOXIFLOXACINO+DEXAmetasona 5MG+1MG/ML SOL. OFTALMICA FR 5ML,MOXIFLOXACINO + DEXAMETASONA (OFTALMICO)
Dicoxibe 100mg Cápsula,Celecoxibe
"Enoxaparina Sódica 80mg/0,8mL",ENOXAPARINA SODICA
EVEROLIMO COMPRIMIDO 10MG,Everolimo
"CLORETO DE SODIO 0,9% - FRASCO 100ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
Fluconazol 150mg cps,FLUCONAZOL
CICLOFOSFAMIDA 50MG DRG,ciclofosfamida
IMUNOGLOBULINA HUMANA 5G PO LIOFILIZADO FR,IMUNOGLOBULINA HUMANA
CISplatina 100mg/100ml FA,CISPLATINA
"Dimenidrinato 3mg/mL + piridoxina, cloridrato de 5mg/mL 10mL, AMPOLA (IV)",DIMENIDRINATO + PIRIDOXINA(B6)
Dolutegravir 50mg comp - Fumssar,DOLUTEGRAVIR
Ritalina La Cápsula Com Microgrânulos de Liberação Modificada 20mg,METILFENIDATO
"Anlodipino, Besilato 10mg Cp.",ANLODIPINO
Trazodona 50 Mg Cp. (NÃO PADRONIZADO),TRAZODONA
NOVALGINA 500MG/ML AMP 2ML (SE NECESSARIO),DipiRONA
AZATIOPRINA 50MG COMP,AZATIOPRINA
"Clorpromazina 100 mg , cp 100mg",ClorproMAZINA
"Bicarbonato de sódio 8,4% 250ml inj.",BICARBONATO DE SODIO
RINGER COM LACTATO FRASCO OU BOLSA 500 ML - FRASCO,(RINGER LACTATO) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO+LACTATO DE SODIO
"N.P. - METOPROLOL, SUCC. 25MG CP",METOPROLOL SUCCINATO
Venetoclax 10mg Cp (Pesquisa Clínica),VENETOCLAX
DipiRONA 500MG/ML AMP 2ML,DipiRONA
AMOXICILINA CAPSULA GELATINOSA DURA 500MG,AMOXICILINA
PLANTAGO OVATA ENVELOPE 5G,PLANTAGO OVATA ((PSYLLIUM HUSK)
"CLORIDRATO DE CLONIDINA 0,1 MILIGRAMA  (COMPRIMIDO)",CLONIDINA
Fitomenadiona 10mg Amp 1mL - Kavit,FITOMENADIONA (VITAMINA K)
DOBUTamina SOL. PADRAO 1X CONCENTRADA,Dobutamina
METRONIDAZOL 40MG/ML 120ML SOL.ORAL,metronidazol
"LEVOBUPIVACAINA  0,75% 20ML - FR AMP",LEVOBupivacaina
OMEPRAZOL SODICO 40MG - EV,OMEPRAZOL
SORO GLICOSE 5% 1.000ML,SOLUCAO DE GLICOSE (SORO GLICOSADO)
Xylestesin 2% Geléia 30g,LIDOCAINA CLORIDRATO
PROTETOR SOLAR COM FPS 30 GEL OU CREME FR,CREME PROTETOR
AMOxicilina+CLAVULANATO (1G+200MG) FA,AMOXICILINA + CLAVULANATO POTASSIO
Clopidogrel 75mg Cp rev,CLOPIDOGREL
DICLOFENACO DE SODIO 50MG,DICLOFENACO SODICO
Água destilada estéril ampola 10 mL,AGUA DESTILADA
MEDICACAO DE CASA 3,QUEtiapina
AMOXICILINA 1G + CLAVULANATO 200 MG INJ,AMOXICILINA + CLAVULANATO POTASSIO
GLICOSE SOLUCAO INJETAVEL 500MG/ML (50%) 10ML,SOLUCAO DE GLICOSE (SORO GLICOSADO)
CicloFOSFAmida 50 MG COMP. (GENUXAL),ciclofosfamida
PRECEDEX 100MCG/ML-2ML EV - BI (MEDICAMENTO DE RISCO),DEXMEDETOMIDINA
Cebralat 50mg Cp (Não Padrão),Cilostazol
SULF. DE VINCRISTINA 1MG/ML SOL. INJETAVEL FA 1ML,VINCRISTINA
LevoMEPROmazina CLORIDRATO COMPRIMIDO REVESTIDO 100MG HSAP @,LEVOMEPROMAZINA (METOTRIMEPRAZINA)
METADONA 10 MG/ML 1ML SOL INJ,Metadona
AMOXICILINA 1G + CLAVULANATO DE POTASSIO 200MG - F/A,AMOXICILINA + CLAVULANATO POTASSIO
RANITIDINA (50 mg/2 mL) 25 mg/mL,RANITIDINA
Donepezila 5 mg comprimido,DONEPEZILA
"Metilprednisolona, Succinato sódico 125mg FA",METILPREDNISOLONA
SORO GLICOSADO 10 % 1000mL 1000 mL,SOLUCAO DE GLICOSE (SORO GLICOSADO)
DULOXETINA 30MG CAP,Duloxetina
Hidroxietilamido 6% Fra 500ml (Voluven),Hidroxietilamido
METOTREXATO 500MG/20ML (GENERI OU REFERENCIA)-BI MED DE RISC,METOTREXATO
CARFILZOMIBE 2MG/ML,CARFILZOMIBE
Ultravist 300 200ml FA iopromida (contraste iodado nao ionico),IOPROMIDA
SEROQUEL 100MG,QUEtiapina
ADDERA D3 10.000UI 10 CP REV,VITAMINA D
"DIMENIDRINATO 50MG,PIRODOXINA 10MG COMP",DIMENIDRINATO + PIRIDOXINA(B6)
Oxaliplatina 50 Mg Inj.,OXALIPLATINA
Módulo Glutamina Sachê 10g,GLUTAMINA
Carbonato de Litio 300mg (Não Padão),CARBONATO DE LITIO
ZETSIM 10MG/40MG 30 CP,EZETIMIBA + SINVASTATINA
"GLUCONATO DE CALCIO 10%  0,45 MEQ/ML 10 ML 100 MG/ML AMP",GLUCONATO DE CALCIO
"CANDESARTANA CILEXETILA 16MG + HidroCLOROTiazida 12,5MG COMPRIMIDO",CANDESARTANA + HIDROCLOROTIAZIDA
AloPURinol 100mg Cp,AloPURinol
SACITUZUMABE GOVITECANA 200 MG FA,SACITUZUMABE GOVITECANA
Oligoelementos inj. ampola c/ 2mL,SULFATO DE ZINCO HEPTAIDRATADO + SULFATO CUPRICO PENTAIDRATADO + SULFATO DE MANGANES MONOIDRATADO + CLORETO CROMICO HEXAIDRATADO
POLIMIXINA E 150MG F/A,COLISTIMETATO (POLIMIXINA E) (COLISTINA)
ANLODIPINO COMP C/5MG,ANLODIPINO
DOXOrrubicina 10MG FAM,DOXORRUBICINA  CLORIDRATO
HEPARINA SODICA FRASCO-AMP IV,Heparina
ONDANSETRONA 4MG CP - POS,ONDANSETRONA
DEXAMETASONA CREME 0.1% MINIMO 10G,DEXAmetasona (tópico)
FUROSEMIDA 40 MILIGRAMAS (COMPRIMIDO),FUROSEMIDA
FLUIMUCIL D 600MG ENV,ACETILCISTEINA
ALPHAGAN Z (NP),BRIMONIDINA (OFTALMICO)
DipiRONA 300mg + Orfenadrina 35mg + Cafeína 50mg Cp,ORFENADRINA +DIPIRONA+CAFEINA
ENOXAPARINA 80 MG,ENOXAPARINA SODICA
ZINACEF IV IM 750MG FA,CEFUROXIMA
Etoposide 10mg/ml Dosador Oral 10ml Inj.,ETOPOSIDEO
ACIDO MEFENAMICO 500 mg,ACIDO MEFENAMICO
BETAmetasona acetato+fosfato dissódico 3mg+3mg/mL amp,ACETATO DE BETAMETASONA + FOSFATO DISSODICO DE BETAMETASONA
Enoxaparina (Alta Vigilancia) - seringa 0.4mL 40 mg,ENOXAPARINA SODICA
CEFALEXINA PO/SUSPENSAO ORAL 250MG/5ML - 60ML,Cefalexina
CLOREXIDINA SOLUCAO AQUOSA 1% 1000 ML,CLOREXIDINA
"BICARBONATO DE SODIO 8,4% (1MEQ/ML) SOL INJET -AMP PLAS 10ML",BICARBONATO DE SODIO
nitroGLICERINA 5ML 5MG/ML (MAV),NitroGLICERINA
METRONIDAZOL 40 MG/ ML SOL ORAL,metronidazol
METILPREDNISOLONA PO LIO 500MG FA,METILPREDNISOLONA
MC: SOMALGIN  1CP ,ACIDO ACETILSALICILICO <200MG
MC: OXCARBAZEPINA 60MGMLDAR ,OXCARBAZEPINA
Verapamil Cloridrato 80mg cp,VERAPAMIL
Fluimucil 100mg/mL Amp. 3mL,ACETILCISTEINA
CIMETIDINA 150MG/ML  2ML INJ - AMP,cimetidina
XYLOPROCT (NP),LIDOCAINA + ACETATO DE HIDROCORTISONA + OXIDO DE ZINCO + SUBACETATO DE ALUMINIO (TOPICO)
